Proposed pillar,Proposed pillar meaning,Primary VDEI pillar code,Primary VDEI pillar name,Primary VDEI pillar meaning,Secondary related pillar - not for scoring,Excel code,Indicator,Indicator meaning,Unit,Formula / operationalization,Cleaned source detail (no Questionnaire),Recommended source URL(s),Detailed data access / crawl instruction for IT,Frequency,Collection method,Update suitability,Tier / decision,2023 data,2024 data,2025 data,Data evidence / notes for 2023-2025,Notes
P4 Thanh toán số & fintech,"Đo mức độ số hóa thanh toán, giảm phụ thuộc COD, năng lực ví điện tử, QR, payment gateway và tài khoản thanh toán.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,D02,Prepaid order share,"Tỷ lệ đơn hàng được thanh toán trước, không phải COD.",%,Prepaid order share = prepaid orders / total orders * 100.,,https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp,"1) Search official payment sources: State Bank of Vietnam (NHNN/SBV), NAPAS annual reports, or e-Conomy SEA DFS pages.
 2) Use keywords: ""giao dịch thanh toán không dùng tiền mặt {year}"", ""digital financial services gross transaction value Vietnam"", ""NAPAS annual report"".
 3) Prefer official SBV/NAPAS tables for domestic non-cash payment volume/value; use e-Conomy SEA for DFS GTV when the indicator is regional digital payment market size.
 4) Extract value, unit, transaction type, period, and source note.
 5) Do not mix ""transaction value"" with ""acceptance rate""; acceptance usually needs merchant/platform data.
 6) Manual QA: payment data definitions differ strongly across sources.
 
 - Recommended starting URL(s): https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp
 - Row-specific search keywords: Prepaid order share, D02, %",Monthly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P4 Thanh toán số & fintech,"Đo mức độ số hóa thanh toán, giảm phụ thuộc COD, năng lực ví điện tử, QR, payment gateway và tài khoản thanh toán.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,D05,E-wallet acceptance rate,Tỷ lệ doanh nghiệp chấp nhận ví điện tử.,%,E-wallet acceptance = merchants accepting e-wallets / total merchants * 100.,EBI 2024 Hình 32 p.38-39; EBI 2025 Hình 27 p.39,https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - EBI 2024 Hình 32 p.38-39; EBI 2025 Hình 27 p.39
 - Recommended starting URL(s): https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp
 - Row-specific search keywords: E-wallet acceptance rate, D05, %",Yearly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P4 Thanh toán số & fintech,"Đo mức độ số hóa thanh toán, giảm phụ thuộc COD, năng lực ví điện tử, QR, payment gateway và tài khoản thanh toán.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,D06,QR payment acceptance rate,Tỷ lệ doanh nghiệp chấp nhận thanh toán QR Code.,%,QR payment acceptance = merchants accepting QR payment / total merchants * 100.,,https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp,"1) Search official payment sources: State Bank of Vietnam (NHNN/SBV), NAPAS annual reports, or e-Conomy SEA DFS pages.
 2) Use keywords: ""giao dịch thanh toán không dùng tiền mặt {year}"", ""digital financial services gross transaction value Vietnam"", ""NAPAS annual report"".
 3) Prefer official SBV/NAPAS tables for domestic non-cash payment volume/value; use e-Conomy SEA for DFS GTV when the indicator is regional digital payment market size.
 4) Extract value, unit, transaction type, period, and source note.
 5) Do not mix ""transaction value"" with ""acceptance rate""; acceptance usually needs merchant/platform data.
 6) Manual QA: payment data definitions differ strongly across sources.
 
 - Recommended starting URL(s): https://en.napas.com.vn/napas-continues-to-accompany-the-cashless-day-series-in-promoting-the-digital-economy-184251014104819134.htm; https://en.vietnamplus.vn/2025-cashless-payment-value-nearly-28-times-gdp-post337178.vnp
 - Row-specific search keywords: QR payment acceptance rate, D06, %",Yearly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ADO,E01,Shipping provider usage share by carrier,"Tỷ lệ doanh nghiệp sử dụng từng đơn vị vận chuyển (GHN, GHTK, Viettel Post, VNPost, J&T, Ninja Van, Best, GrabExpress, Ahamove…).",%,Carrier usage share_i = parcels delivered by carrier_i / total e-commerce parcels * 100.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: Shipping provider usage share by carrier, E01, %",Quarterly / Yearly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",ADO,Technology Adoption / Mức độ ứng dụng công nghệ số,"Đo mức độ ứng dụng công nghệ, hệ thống dữ liệu, tích hợp logistics, automation, AI, analytics hoặc các công cụ số vào quy trình vận hành.",EC-DN,E02,Logistics system integration rate,Tỷ lệ doanh nghiệp tích hợp hệ thống bán hàng với nhà vận chuyển/API logistics.,%,Logistics integration rate = merchants/sellers integrated with logistics API/system / surveyed merchants * 100.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: Logistics system integration rate, E02, %",Quarterly / Yearly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ADO,E03,Average urban delivery time,Thời gian giao hàng trung bình nội thành.,Days / Hours,Average urban delivery time = mean(delivered_at - picked_up_at) for urban orders.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: Average urban delivery time, E03, Days / Hours",Monthly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ADO,E04,Average provincial delivery time,Thời gian giao hàng trung bình ngoại thành/liên tỉnh.,Days,Average provincial delivery time = mean(delivered_at - picked_up_at) for inter-province orders.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: Average provincial delivery time, E04, Days",Monthly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ADO,E05,First-attempt delivery success rate,Tỷ lệ đơn giao thành công ngay lần giao đầu tiên.,%,First-attempt delivery success = orders delivered at first attempt / total delivery attempts * 100.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: First-attempt delivery success rate, E05, %",Monthly / Quarterly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",ADO,Technology Adoption / Mức độ ứng dụng công nghệ số,"Đo mức độ ứng dụng công nghệ, hệ thống dữ liệu, tích hợp logistics, automation, AI, analytics hoặc các công cụ số vào quy trình vận hành.",EC-DN,E10,WMS (warehouse management system) adoption,"Tỷ lệ áp dụng hệ thống WMS (tự động, cơ bản, thủ công).",%,WMS adoption = warehouses/merchants using WMS / surveyed warehouses/merchants * 100.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: WMS adoption, E10, %",Quarterly / Yearly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
P5 Logistics & fulfilment TMĐT,"Đo khả năng giao hàng, chi phí, tốc độ, tích hợp logistics và năng lực fulfilment hỗ trợ TMĐT.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ADO,E13,Third-party logistics share,Tỷ lệ doanh nghiệp sử dụng dịch vụ vận chuyển bên thứ ba.,%,3PL share = orders shipped via third-party logistics / total orders * 100.,Source: EBI; Exact: EBI 2024 Hình 30 p.37-38; EBI 2023 Hình 35 p.43,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - source: EBI; Exact: EBI 2024 Hình 30 p.37-38; EBI 2023 Hình 35 p.43
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://viettelpost.com.vn/quan-he-co-dong/; https://www.jtexpress.com/investor-relations
 - Row-specific search keywords: Third-party logistics share, E13, %",Yearly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
"P7 Nền tảng, social/video commerce & cạnh tranh","Đo sức mạnh nền tảng, lưu lượng, tải app, thị phần, seller/transaction growth và mức độ tập trung danh mục.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","ADO, EC-C",G01,Top e-commerce website traffic,Lượt truy cập web của các sàn và website TMĐT lớn tại Việt Nam.,Visits,Top e-commerce website traffic = visits/sessions to each platform domain per month.,Source: Similarweb; Exact: https://www.similarweb.com/top-websites/vietnam/e-commerce-and-shopping/,https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/,"1) Open Similarweb category ranking: https://www.similarweb.com/top-websites/vietnam/e-commerce-and-shopping/ or search ""Similarweb top websites Vietnam e-commerce"".
 2) If public page is accessible, crawl rank, domain, category, visits/traffic fields shown. If blocked/paywalled, use Similarweb API/export under a licensed account.
 3) For marketplace/app indicators, build a list of target domains/apps: shopee.vn, lazada.vn, tiki.vn, tiktok.com/shop related traffic, sendo.vn, etc.
 4) Extract rank, visits, visit share, month, device split if available, source URL and crawl timestamp.
 5) Compute shares only from comparable domains and document the denominator.
 6) Manual QA: Similarweb estimates are third-party; label as market-intelligence proxy, not official statistics.
 
 - Source: Similarweb; Exact: https://www.similarweb.com/top-websites/vietnam/e-commerce-and-shopping/
 - Recommended starting URL(s): https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/
 - Row-specific search keywords: Top e-commerce website traffic, G01, Visits",Monthly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
"P7 Nền tảng, social/video commerce & cạnh tranh","Đo sức mạnh nền tảng, lưu lượng, tải app, thị phần, seller/transaction growth và mức độ tập trung danh mục.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","ADO, EC-C",G02,Marketplace app ranking / downloads,Xếp hạng và lượt tải ứng dụng marketplace.,Rank / Downloads,Marketplace app ranking/downloads = app downloads or rank score by platform and period.,Source: App intelligence / app stores; Exact: App-intelligence providers (Sensor Tower/AppMagic) or app stores; example AppMagic charts https://www.appmagic.rocks/top-charts/apps?country=VN&category=Shopping,https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/,"1) Open Similarweb category ranking: https://www.similarweb.com/top-websites/vietnam/e-commerce-and-shopping/ or search ""Similarweb top websites Vietnam e-commerce"".
 2) If public page is accessible, crawl rank, domain, category, visits/traffic fields shown. If blocked/paywalled, use Similarweb API/export under a licensed account.
 3) For marketplace/app indicators, build a list of target domains/apps: shopee.vn, lazada.vn, tiki.vn, tiktok.com/shop related traffic, sendo.vn, etc.
 4) Extract rank, visits, visit share, month, device split if available, source URL and crawl timestamp.
 5) Compute shares only from comparable domains and document the denominator.
 6) Manual QA: Similarweb estimates are third-party; label as market-intelligence proxy, not official statistics.
 
 - Source: App intelligence / app stores; Exact: App-intelligence providers (Sensor Tower/AppMagic) or app stores; example AppMagic charts https://www.appmagic.rocks/top-charts/apps?country=VN&category=Shopping
 - Recommended starting URL(s): https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/
 - Row-specific search keywords: Marketplace app ranking / downloads, G02, Rank / Downloads",Weekly / Monthly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
"P7 Nền tảng, social/video commerce & cạnh tranh","Đo sức mạnh nền tảng, lưu lượng, tải app, thị phần, seller/transaction growth và mức độ tập trung danh mục.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","ADO, EC-C",G03,Marketplace market share,"Thị phần của từng nền tảng TMĐT theo GMV, orders hoặc traffic.",%,Marketplace market share = platform GMV / total marketplace GMV * 100.,"Source: Platform intelligence / market reports; Exact: No single public official source; combine platform reports, YouNet/metric firms, Similarweb, partner data",https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/,"1) Open Similarweb category ranking: https://www.similarweb.com/top-websites/vietnam/e-commerce-and-shopping/ or search ""Similarweb top websites Vietnam e-commerce"".
 2) If public page is accessible, crawl rank, domain, category, visits/traffic fields shown. If blocked/paywalled, use Similarweb API/export under a licensed account.
 3) For marketplace/app indicators, build a list of target domains/apps: shopee.vn, lazada.vn, tiki.vn, tiktok.com/shop related traffic, sendo.vn, etc.
 4) Extract rank, visits, visit share, month, device split if available, source URL and crawl timestamp.
 5) Compute shares only from comparable domains and document the denominator.
 6) Manual QA: Similarweb estimates are third-party; label as market-intelligence proxy, not official statistics.
 
 - Source: Platform intelligence / market reports; Exact: No single public official source; combine platform reports, YouNet/metric firms, Similarweb, partner data
 - Recommended starting URL(s): https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/
 - Row-specific search keywords: Marketplace market share, G03, %",Monthly / Quarterly / Yearly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
